Symptoms,Disease
pain during pregnancy,hydatidiform mole
sharp abdominal pain,hydatidiform mole
spotting or bleeding during pregnancy,hydatidiform mole
groin mass,hydrocele of the testicle
groin pain,hydrocele of the testicle
lower abdominal pain,hydrocele of the testicle
mass in scrotum,hydrocele of the testicle
pain in testicles,hydrocele of the testicle
retention of urine,hydrocele of the testicle
swelling of scrotum,hydrocele of the testicle
symptoms of the scrotum and testes,hydrocele of the testicle
abnormal involuntary movements,hydrocephalus
depressive or psychotic symptoms,hydrocephalus
headache,hydrocephalus
lack of growth,hydrocephalus
problems with movement,hydrocephalus
seizures,hydrocephalus
vomiting,hydrocephalus
back pain,hydronephrosis
lower abdominal pain,hydronephrosis
nausea,hydronephrosis
pain in testicles,hydronephrosis
sharp abdominal pain,hydronephrosis
side pain,hydronephrosis
suprapubic pain,hydronephrosis
vomiting,hydronephrosis
dizziness,hypercalcemia
loss of sensation,hypercalcemia
retention of urine,hypercalcemia
weakness,hypercalcemia
excessive urination at night,hypercholesterolemia
hand or finger stiffness or tightness,hypercholesterolemia
palpitations,hypercholesterolemia
sharp chest pain,hypercholesterolemia
weight gain,hypercholesterolemia
blood in stool,hypergammaglobulinemia
fatigue,hypergammaglobulinemia
acne or pimples,hyperhidrosis
cough,hyperhidrosis
fever,hyperhidrosis
sweating,hyperhidrosis
warts,hyperhidrosis
decreased heart rate,hyperkalemia
depressive or psychotic symptoms,hyperkalemia
difficulty in swallowing,hyperkalemia
dizziness,hyperkalemia
feeling ill,hyperkalemia
nausea,hyperkalemia
sharp chest pain,hyperkalemia
shortness of breath,hyperkalemia
vomiting,hyperkalemia
weakness,hyperkalemia
difficulty breathing,hypernatremia
fainting,hypernatremia
fever,hypernatremia
shortness of breath,hypernatremia
weakness,hypernatremia
difficulty speaking,hyperopia
diminished vision,hyperopia
eye deviation,hyperopia
eye redness,hyperopia
spots or clouds in vision,hyperopia
symptoms of eye,hyperopia
cough,hyperosmotic hyperketotic state
frequent urination,hyperosmotic hyperketotic state
weakness,hyperosmotic hyperketotic state
headache,hypertension of pregnancy
heartburn,hypertension of pregnancy
pain during pregnancy,hypertension of pregnancy
problems during pregnancy,hypertension of pregnancy
spotting or bleeding during pregnancy,hypertension of pregnancy
uterine contractions,hypertension of pregnancy
chest tightness,hypertensive heart disease
difficulty breathing,hypertensive heart disease
fatigue,hypertensive heart disease
heartburn,hypertensive heart disease
insomnia,hypertensive heart disease
leg swelling,hypertensive heart disease
palpitations,hypertensive heart disease
recent pregnancy,hypertensive heart disease
sharp chest pain,hypertensive heart disease
shortness of breath,hypertensive heart disease
weakness,hypertensive heart disease
anxiety and nervousness,hypertrophic obstructive cardiomyopathy (hocm)
emotional symptoms,hypertrophic obstructive cardiomyopathy (hocm)
sharp chest pain,hypertrophic obstructive cardiomyopathy (hocm)
abnormal involuntary movements,hypocalcemia
constipation,hypocalcemia
leg weakness,hypocalcemia
sharp chest pain,hypocalcemia
shortness of breath,hypocalcemia
abnormal involuntary movements,hypoglycemia
decreased appetite,hypoglycemia
depressive or psychotic symptoms,hypoglycemia
dizziness,hypoglycemia
fainting,hypoglycemia
feeling ill,hypoglycemia
nausea,hypoglycemia
problems with movement,hypoglycemia
seizures,hypoglycemia
sleepiness,hypoglycemia
sweating,hypoglycemia
weakness,hypoglycemia
diarrhea,hypokalemia
fainting,hypokalemia
fever,hypokalemia
headache,hypokalemia
loss of sensation,hypokalemia
nausea,hypokalemia
sharp abdominal pain,hypokalemia
sharp chest pain,hypokalemia
shortness of breath,hypokalemia
vomiting,hypokalemia
depressive or psychotic symptoms,hypothermia
emotional symptoms,hypothermia
fainting,hypothermia
weakness,hypothermia
fatigue,hypothyroidism
hot flashes,hypothyroidism
muscle pain,hypothyroidism
too little hair,hypothyroidism
weight gain,hypothyroidism
wrist swelling,hypothyroidism
decreased appetite,hypovolemia
diarrhea,hypovolemia
dizziness,hypovolemia
fainting,hypovolemia
feeling ill,hypovolemia
fever,hypovolemia
nausea,hypovolemia
sharp abdominal pain,hypovolemia
vomiting,hypovolemia
absence of menstruation,idiopathic absence of menstruation
heartburn,idiopathic absence of menstruation
long menstrual periods,idiopathic absence of menstruation
lower abdominal pain,idiopathic absence of menstruation
nausea,idiopathic absence of menstruation
pain or soreness of breast,idiopathic absence of menstruation
pelvic pain,idiopathic absence of menstruation
sharp abdominal pain,idiopathic absence of menstruation
vaginal itching,idiopathic absence of menstruation
blood clots during menstrual periods,idiopathic excessive menstruation
cramps and spasms,idiopathic excessive menstruation
frequent menstruation,idiopathic excessive menstruation
heavy menstrual flow,idiopathic excessive menstruation
intermenstrual bleeding,idiopathic excessive menstruation
involuntary urination,idiopathic excessive menstruation
long menstrual periods,idiopathic excessive menstruation
painful menstruation,idiopathic excessive menstruation
sharp abdominal pain,idiopathic excessive menstruation
unpredictable menstruation,idiopathic excessive menstruation
vaginal discharge,idiopathic excessive menstruation
cramps and spasms,idiopathic irregular menstrual cycle
frequent menstruation,idiopathic irregular menstrual cycle
heavy menstrual flow,idiopathic irregular menstrual cycle
infertility,idiopathic irregular menstrual cycle
intermenstrual bleeding,idiopathic irregular menstrual cycle
long menstrual periods,idiopathic irregular menstrual cycle
lower abdominal pain,idiopathic irregular menstrual cycle
painful menstruation,idiopathic irregular menstrual cycle
pelvic pain,idiopathic irregular menstrual cycle
sharp abdominal pain,idiopathic irregular menstrual cycle
unpredictable menstruation,idiopathic irregular menstrual cycle
intermenstrual bleeding,idiopathic nonmenstrual bleeding
long menstrual periods,idiopathic nonmenstrual bleeding
painful urination,idiopathic nonmenstrual bleeding
sharp abdominal pain,idiopathic nonmenstrual bleeding
unpredictable menstruation,idiopathic nonmenstrual bleeding
vaginal discharge,idiopathic nonmenstrual bleeding
burning abdominal pain,ileus
constipation,ileus
diarrhea,ileus
headache,ileus
lower abdominal pain,ileus
nausea,ileus
pain of the anus,ileus
sharp abdominal pain,ileus
vomiting,ileus
abnormal appearing skin,impetigo
cough,impetigo
fever,impetigo
itching of skin,impetigo
mouth ulcer,impetigo
nasal congestion,impetigo
skin lesion,impetigo
skin rash,impetigo
skin swelling,impetigo
sore in nose,impetigo
anxiety and nervousness,impulse control disorder
delusions or hallucinations,impulse control disorder
depression,impulse control disorder
depressive or psychotic symptoms,impulse control disorder
excessive anger,impulse control disorder
excessive appetite,impulse control disorder
insomnia,impulse control disorder
temper problems,impulse control disorder
burning abdominal pain,indigestion
decreased appetite,indigestion
diarrhea,indigestion
heartburn,indigestion
nausea,indigestion
sharp abdominal pain,indigestion
sharp chest pain,indigestion
stomach bloating,indigestion
vomiting,indigestion
cramps and spasms,induced abortion
groin pain,induced abortion
intermenstrual bleeding,induced abortion
lower abdominal pain,induced abortion
pain during pregnancy,induced abortion
sharp abdominal pain,induced abortion
spotting or bleeding during pregnancy,induced abortion
vaginal discharge,induced abortion
abnormal appearing skin,infection of open wound
hand or finger swelling,infection of open wound
insomnia,infection of open wound
leg pain,infection of open wound
blood in stool,infectious gastroenteritis
burning abdominal pain,infectious gastroenteritis
chills,infectious gastroenteritis
decreased appetite,infectious gastroenteritis
diarrhea,infectious gastroenteritis
fever,infectious gastroenteritis
fluid retention,infectious gastroenteritis
flu-like syndrome,infectious gastroenteritis
headache,infectious gastroenteritis
nausea,infectious gastroenteritis
sharp abdominal pain,infectious gastroenteritis
vomiting,infectious gastroenteritis
abnormal appearing skin,ingrown toe nail
foot or toe pain,ingrown toe nail
foot or toe swelling,ingrown toe nail
irregular appearing nails,ingrown toe nail
neck swelling,ingrown toe nail
"skin dryness, peeling, scaliness, or roughness",ingrown toe nail
skin growth,ingrown toe nail
skin on arm or hand looks infected,ingrown toe nail
skin on leg or foot looks infected,ingrown toe nail
swollen eye,ingrown toe nail
back pain,injury to internal organ
frequent urination,injury to internal organ
retention of urine,injury to internal organ
sharp abdominal pain,injury to internal organ
sharp chest pain,injury to internal organ
side pain,injury to internal organ
back pain,injury to the abdomen
blood in urine,injury to the abdomen
leg pain,injury to the abdomen
sharp abdominal pain,injury to the abdomen
sharp chest pain,injury to the abdomen
arm pain,injury to the arm
arm stiffness or tightness,injury to the arm
arm swelling,injury to the arm
bones are painful,injury to the arm
elbow pain,injury to the arm
elbow swelling,injury to the arm
hand or finger pain,injury to the arm
hand or finger swelling,injury to the arm
joint pain,injury to the arm
loss of sensation,injury to the arm
wrist pain,injury to the arm
wrist swelling,injury to the arm
bleeding from ear,injury to the face
diminished hearing,injury to the face
ear pain,injury to the face
facial pain,injury to the face
headache,injury to the face
mouth pain,injury to the face
neck pain,injury to the face
neck stiffness or tightness,injury to the face
nosebleed,injury to the face
hand or finger pain,injury to the finger
hand or finger stiffness or tightness,injury to the finger
hand or finger swelling,injury to the finger
swelling of scrotum,injury to the finger
hand or finger pain,injury to the hand
hand or finger stiffness or tightness,injury to the hand
hand or finger swelling,injury to the hand
joint pain,injury to the hand
skin growth,injury to the hand
wrist pain,injury to the hand
wrist swelling,injury to the hand
hand or finger swelling,injury to the hip
hip pain,injury to the hip
leg pain,injury to the hip
neck pain,injury to the hip
foot or toe swelling,injury to the knee
knee pain,injury to the knee
knee weakness,injury to the knee
leg pain,injury to the knee
problems with movement,injury to the knee
ankle pain,injury to the leg
ankle swelling,injury to the leg
foot or toe pain,injury to the leg
foot or toe swelling,injury to the leg
infant feeding problem,injury to the leg
irregular appearing nails,injury to the leg
knee pain,injury to the leg
knee stiffness or tightness,injury to the leg
knee swelling,injury to the leg
leg pain,injury to the leg
leg swelling,injury to the leg
problems with movement,injury to the leg
arm pain,injury to the shoulder
arm stiffness or tightness,injury to the shoulder
back pain,injury to the shoulder
bones are painful,injury to the shoulder
elbow pain,injury to the shoulder
"muscle cramps, contractures, or spasms",injury to the shoulder
neck pain,injury to the shoulder
shoulder pain,injury to the shoulder
shoulder stiffness or tightness,injury to the shoulder
back pain,injury to the trunk
bones are painful,injury to the trunk
headache,injury to the trunk
low back pain,injury to the trunk
lower body pain,injury to the trunk
neck pain,injury to the trunk
rib pain,injury to the trunk
sharp chest pain,injury to the trunk
shoulder pain,injury to the trunk
symptoms of the scrotum and testes,injury to the trunk
wrist pain,injury to the trunk
abnormal appearing skin,insect bite
fluid retention,insect bite
hand or finger swelling,insect bite
itching of skin,insect bite
leg swelling,insect bite
lip swelling,insect bite
peripheral edema,insect bite
skin lesion,insect bite
skin rash,insect bite
skin swelling,insect bite
depressive or psychotic symptoms,insulin overdose
emotional symptoms,insulin overdose
abnormal breathing sounds,interstitial lung disease
cough,interstitial lung disease
fever,interstitial lung disease
headache,interstitial lung disease
nasal congestion,interstitial lung disease
shortness of breath,interstitial lung disease
sleepiness,interstitial lung disease
sore throat,interstitial lung disease
wheezing,interstitial lung disease
abnormal appearing skin,intertrigo (skin condition)
acne or pimples,intertrigo (skin condition)
"skin dryness, peeling, scaliness, or roughness",intertrigo (skin condition)
skin lesion,intertrigo (skin condition)
skin rash,intertrigo (skin condition)
skin swelling,intertrigo (skin condition)
burning abdominal pain,intestinal disease
diarrhea,intestinal disease
fainting,intestinal disease
nausea,intestinal disease
regurgitation,intestinal disease
regurgitation.1,intestinal disease
sharp abdominal pain,intestinal disease
sharp chest pain,intestinal disease
vomiting,intestinal disease
allergic reaction,intestinal malabsorption
cough,intestinal malabsorption
diarrhea,intestinal malabsorption
flatulence,intestinal malabsorption
nasal congestion,intestinal malabsorption
sharp abdominal pain,intestinal malabsorption
vomiting,intestinal malabsorption
burning abdominal pain,intestinal obstruction
constipation,intestinal obstruction
nausea,intestinal obstruction
pain of the anus,intestinal obstruction
retention of urine,intestinal obstruction
sharp abdominal pain,intestinal obstruction
stomach bloating,intestinal obstruction
vaginal itching,intestinal obstruction
vomiting,intestinal obstruction
blindness,intracerebral hemorrhage
depressive or psychotic symptoms,intracerebral hemorrhage
diminished vision,intracerebral hemorrhage
dizziness,intracerebral hemorrhage
focal weakness,intracerebral hemorrhage
headache,intracerebral hemorrhage
nausea,intracerebral hemorrhage
seizures,intracerebral hemorrhage
vomiting,intracerebral hemorrhage
weakness,intracerebral hemorrhage
depressive or psychotic symptoms,intracranial abscess
headache,intracranial abscess
seizures,intracranial abscess
abnormal involuntary movements,intracranial hemorrhage
depressive or psychotic symptoms,intracranial hemorrhage
difficulty speaking,intracranial hemorrhage
diminished vision,intracranial hemorrhage
dizziness,intracranial hemorrhage
headache,intracranial hemorrhage
seizures,intracranial hemorrhage
vomiting,intracranial hemorrhage
blood in stool,intussusception
emotional symptoms,intussusception
sharp abdominal pain,intussusception
cloudy eye,iridocyclitis
diminished vision,iridocyclitis
eye burns or stings,iridocyclitis
eye redness,iridocyclitis
foreign body sensation in eye,iridocyclitis
headache,iridocyclitis
lacrimation,iridocyclitis
pain in eye,iridocyclitis
symptoms of eye,iridocyclitis
blood in stool,iron deficiency anemia
dizziness,iron deficiency anemia
fatigue,iron deficiency anemia
heartburn,iron deficiency anemia
heavy menstrual flow,iron deficiency anemia
intermenstrual bleeding,iron deficiency anemia
rectal bleeding,iron deficiency anemia
regurgitation,iron deficiency anemia
regurgitation.1,iron deficiency anemia
weakness,iron deficiency anemia
weight gain,iron deficiency anemia
anxiety and nervousness,irritable bowel syndrome
burning abdominal pain,irritable bowel syndrome
diarrhea,irritable bowel syndrome
flatulence,irritable bowel syndrome
insomnia,irritable bowel syndrome
lower abdominal pain,irritable bowel syndrome
nausea,irritable bowel syndrome
sharp abdominal pain,irritable bowel syndrome
upper abdominal pain,irritable bowel syndrome
blood in stool,ischemia of the bowel
burning abdominal pain,ischemia of the bowel
constipation,ischemia of the bowel
nausea,ischemia of the bowel
retention of urine,ischemia of the bowel
sharp abdominal pain,ischemia of the bowel
vomiting,ischemia of the bowel
chest tightness,ischemic heart disease
difficulty breathing,ischemic heart disease
dizziness,ischemic heart disease
fatigue,ischemic heart disease
lymphedema,ischemic heart disease
muscle pain,ischemic heart disease
palpitations,ischemic heart disease
peripheral edema,ischemic heart disease
sharp chest pain,ischemic heart disease
shortness of breath,ischemic heart disease
throat feels tight,ischemic heart disease
abnormal appearing skin,itching of unknown cause
allergic reaction,itching of unknown cause
fluid retention,itching of unknown cause
itching of skin,itching of unknown cause
itchy scalp,itching of unknown cause
problems during pregnancy,itching of unknown cause
"skin dryness, peeling, scaliness, or roughness",itching of unknown cause
skin rash,itching of unknown cause
vaginal itching,itching of unknown cause
difficulty in swallowing,jaw disorder
facial pain,jaw disorder
headache,jaw disorder
jaw swelling,jaw disorder
mouth pain,jaw disorder
neck mass,jaw disorder
peripheral edema,jaw disorder
toothache,jaw disorder
ankle pain,joint effusion
ankle swelling,joint effusion
elbow pain,joint effusion
knee pain,joint effusion
knee stiffness or tightness,joint effusion
knee swelling,joint effusion
problems with movement,joint effusion
wrist pain,joint effusion
wrist swelling,joint effusion
back pain,juvenile rheumatoid arthritis
hand or finger pain,juvenile rheumatoid arthritis
joint pain,juvenile rheumatoid arthritis
knee pain,juvenile rheumatoid arthritis
wrist swelling,juvenile rheumatoid arthritis
blood in urine,kidney cancer
groin mass,kidney cancer
involuntary urination,kidney cancer
kidney mass,kidney cancer
retention of urine,kidney cancer
difficulty speaking,kidney disease due to longstanding hypertension
feeling cold,kidney disease due to longstanding hypertension
shortness of breath,kidney disease due to longstanding hypertension
symptoms of the kidneys,kidney disease due to longstanding hypertension
arm swelling,kidney failure
leg swelling,kidney failure
nausea,kidney failure
sharp chest pain,kidney failure
shortness of breath,kidney failure
swollen abdomen,kidney failure
symptoms of the kidneys,kidney failure
vomiting,kidney failure
back pain,kidney stone
blood in urine,kidney stone
frequent urination,kidney stone
low back pain,kidney stone
lower abdominal pain,kidney stone
painful urination,kidney stone
retention of urine,kidney stone
sharp abdominal pain,kidney stone
side pain,kidney stone
suprapubic pain,kidney stone
vomiting,kidney stone
knee lump or mass,knee ligament or meniscus tear
knee pain,knee ligament or meniscus tear
knee stiffness or tightness,knee ligament or meniscus tear
knee swelling,knee ligament or meniscus tear
knee weakness,knee ligament or meniscus tear
leg stiffness or tightness,knee ligament or meniscus tear
leg weakness,knee ligament or meniscus tear
diminished hearing,labyrinthitis
dizziness,labyrinthitis
ear pain,labyrinthitis
headache,labyrinthitis
loss of sensation,labyrinthitis
nausea,labyrinthitis
plugged feeling in ear,labyrinthitis
spots or clouds in vision,labyrinthitis
sweating,labyrinthitis
vomiting,labyrinthitis
arm pain,lateral epicondylitis (tennis elbow)
elbow pain,lateral epicondylitis (tennis elbow)
hand or finger pain,lateral epicondylitis (tennis elbow)
hand or finger stiffness or tightness,lateral epicondylitis (tennis elbow)
joint pain,lateral epicondylitis (tennis elbow)
loss of sensation,lateral epicondylitis (tennis elbow)
shoulder pain,lateral epicondylitis (tennis elbow)
wrist pain,lateral epicondylitis (tennis elbow)
fatigue,leukemia
fever,leukemia
mouth pain,leukemia
muscle stiffness or tightness,leukemia
abnormal involuntary movements,lewy body dementia
delusions or hallucinations,lewy body dementia
depressive or psychotic symptoms,lewy body dementia
disturbance of memory,lewy body dementia
hostile behavior,lewy body dementia
cough,lice
itching of skin,lice
itchy scalp,lice
leg lump or mass,lice
nasal congestion,lice
abnormal appearing skin,lipoma
arm lump or mass,lipoma
back mass or lump,lipoma
bones are painful,lipoma
groin mass,lipoma
neck mass,lipoma
shoulder lump or mass,lipoma
skin growth,lipoma
skin lesion,lipoma
skin swelling,lipoma
decreased appetite,liver cancer
groin mass,liver cancer
sharp abdominal pain,liver cancer
stomach bloating,liver cancer
upper abdominal pain,liver cancer
blood in stool,liver disease
diarrhea,liver disease
heartburn,liver disease
jaundice,liver disease
nausea,liver disease
peripheral edema,liver disease
sharp abdominal pain,liver disease
shortness of breath,liver disease
side pain,liver disease
unusual color or odor to urine,liver disease
upper abdominal pain,liver disease
weakness,liver disease
cough,lung cancer
decreased appetite,lung cancer
fatigue,lung cancer
hemoptysis,lung cancer
leg weakness,lung cancer
shortness of breath,lung cancer
smoking problems,lung cancer
ache all over,lung contusion
back pain,lung contusion
sharp chest pain,lung contusion
shortness of breath,lung contusion
abnormal appearing skin,lyme disease
depressive or psychotic symptoms,lyme disease
fatigue,lyme disease
fever,lyme disease
headache,lyme disease
hip pain,lyme disease
symptoms of the face,lyme disease
cough,lymphadenitis
ear pain,lymphadenitis
fever,lymphadenitis
neck mass,lymphadenitis
neck pain,lymphadenitis
neck swelling,lymphadenitis
sharp abdominal pain,lymphadenitis
skin swelling,lymphadenitis
sore throat,lymphadenitis
arm pain,lymphangitis
neck swelling,lymphangitis
abnormal appearing skin,lymphedema
fluid retention,lymphedema
foot or toe swelling,lymphedema
leg pain,lymphedema
leg swelling,lymphedema
lymphedema,lymphedema
peripheral edema,lymphedema
skin lesion,lymphedema
throat swelling,lymphedema
fatigue,lymphoma
groin mass,lymphoma
hoarse voice,lymphoma
itchy ear(s),lymphoma
neck mass,lymphoma
regurgitation,lymphoma
regurgitation.1,lymphoma
abnormal movement of eyelid,macular degeneration
bleeding from eye,macular degeneration
blindness,macular degeneration
diminished vision,macular degeneration
double vision,macular degeneration
foreign body sensation in eye,macular degeneration
itchiness of eye,macular degeneration
lacrimation,macular degeneration
pain in eye,macular degeneration
spots or clouds in vision,macular degeneration
symptoms of eye,macular degeneration
dizziness,magnesium deficiency
leg pain,magnesium deficiency
sharp chest pain,magnesium deficiency
shortness of breath,magnesium deficiency
fainting,malaria
fever,malaria
headache,malaria
knee lump or mass,malaria
depressive or psychotic symptoms,malignant hypertension
headache,malignant hypertension
insomnia,malignant hypertension
lower body pain,malignant hypertension
sharp chest pain,malignant hypertension
shortness of breath,malignant hypertension
vomiting,malignant hypertension
abusing alcohol,marijuana abuse
anxiety and nervousness,marijuana abuse
delusions or hallucinations,marijuana abuse
depression,marijuana abuse
depressive or psychotic symptoms,marijuana abuse
difficulty speaking,marijuana abuse
drug abuse,marijuana abuse
excessive anger,marijuana abuse
fears and phobias,marijuana abuse
hostile behavior,marijuana abuse
low self-esteem,marijuana abuse
temper problems,marijuana abuse
cough,mastoiditis
diminished hearing,mastoiditis
dizziness,mastoiditis
ear pain,mastoiditis
facial pain,mastoiditis
nasal congestion,mastoiditis
knee lump or mass,meckel diverticulum
lower abdominal pain,meckel diverticulum
allergic reaction,meniere disease
diminished hearing,meniere disease
dizziness,meniere disease
ear pain,meniere disease
facial pain,meniere disease
headache,meniere disease
nausea,meniere disease
ringing in ear,meniere disease
depressive or psychotic symptoms,meningioma
disturbance of memory,meningioma
dizziness,meningioma
headache,meningioma
weakness,meningioma
ache all over,meningitis
cough,meningitis
fever,meningitis
headache,meningitis
nausea,meningitis
neck pain,meningitis
neck stiffness or tightness,meningitis
vomiting,meningitis
absence of menstruation,menopause
hot flashes,menopause
involuntary urination,menopause
sweating,menopause
unpredictable menstruation,menopause
vaginal itching,menopause
arm stiffness or tightness,metabolic disorder
jaundice,metabolic disorder
smoking problems,metabolic disorder
weight gain,metabolic disorder
decreased appetite,metastatic cancer
fatigue,metastatic cancer
focal weakness,metastatic cancer
neck mass,metastatic cancer
vaginal dryness,metastatic cancer
blindness,migraine
diminished vision,migraine
disturbance of memory,migraine
dizziness,migraine
headache,migraine
nausea,migraine
spots or clouds in vision,migraine
symptoms of the face,migraine
vomiting,migraine
chest tightness,mitral valve disease
dizziness,mitral valve disease
fatigue,mitral valve disease
increased heart rate,mitral valve disease
irregular heartbeat,mitral valve disease
nightmares,mitral valve disease
sharp chest pain,mitral valve disease
shortness of breath,mitral valve disease
sweating,mitral valve disease
diarrhea,mittelschmerz
lower abdominal pain,mittelschmerz
painful menstruation,mittelschmerz
pelvic pain,mittelschmerz
sharp abdominal pain,mittelschmerz
vomiting,mittelschmerz
ankle pain,mononeuritis
arm pain,mononeuritis
elbow pain,mononeuritis
foot or toe pain,mononeuritis
hand or finger pain,mononeuritis
hand or finger weakness,mononeuritis
leg pain,mononeuritis
loss of sensation,mononeuritis
shoulder pain,mononeuritis
wrist pain,mononeuritis
cough,mononucleosis
feeling ill,mononucleosis
fever,mononucleosis
headache,mononucleosis
nasal congestion,mononucleosis
skin rash,mononucleosis
sore throat,mononucleosis
swollen lymph nodes,mononucleosis
depressive or psychotic symptoms,moyamoya disease
elbow weakness,moyamoya disease
disturbance of memory,multiple myeloma
fatigue,multiple myeloma
lip swelling,multiple myeloma
problems with movement,multiple myeloma
weakness,multiple myeloma
abnormal involuntary movements,muscle spasm
arm pain,muscle spasm
back pain,muscle spasm
headache,muscle spasm
leg pain,muscle spasm
loss of sensation,muscle spasm
low back pain,muscle spasm
"muscle cramps, contractures, or spasms",muscle spasm
neck pain,muscle spasm
sharp chest pain,muscle spasm
cough,muscular dystrophy
fatigue,muscular dystrophy
feeling cold,muscular dystrophy
hip pain,muscular dystrophy
nasal congestion,muscular dystrophy
coughing up sputum,myasthenia gravis
dizziness,myasthenia gravis
double vision,myasthenia gravis
fatigue,myasthenia gravis
shortness of breath,myasthenia gravis
slurring words,myasthenia gravis
weakness,myasthenia gravis
chills,myelodysplastic syndrome
difficulty speaking,myelodysplastic syndrome
fatigue,myelodysplastic syndrome
dizziness,myocarditis
palpitations,myocarditis
sharp chest pain,myocarditis
abnormal involuntary movements,myoclonus
insomnia,myoclonus
muscle swelling,myoclonus
seizures,myoclonus
blindness,myopia
diminished vision,myopia
eye deviation,myopia
eye moves abnormally,myopia
eye redness,myopia
foreign body sensation in eye,myopia
pain in eye,myopia
spots or clouds in vision,myopia
symptoms of eye,myopia
headache,myositis
hip pain,myositis
knee pain,myositis
leg pain,myositis
loss of sensation,myositis
problems with movement,myositis
apnea,narcolepsy
disturbance of memory,narcolepsy
fatigue,narcolepsy
headache,narcolepsy
insomnia,narcolepsy
shortness of breath,narcolepsy
sleepiness,narcolepsy
changes in stool appearance,neonatal jaundice
infant feeding problem,neonatal jaundice
irritable infant,neonatal jaundice
jaundice,neonatal jaundice
lack of growth,neonatal jaundice
ache all over,neuralgia
arm pain,neuralgia
back pain,neuralgia
headache,neuralgia
hip pain,neuralgia
leg pain,neuralgia
loss of sensation,neuralgia
low back pain,neuralgia
neck pain,neuralgia
shoulder pain,neuralgia
abnormal appearing skin,neurofibromatosis
abnormal involuntary movements,neurofibromatosis
groin mass,neurofibromatosis
headache,neurofibromatosis
cough,neuropathy due to drugs
foot or toe pain,neuropathy due to drugs
loss of sensation,neuropathy due to drugs
problems with movement,neuropathy due to drugs
vomiting,neuropathy due to drugs
dizziness,nonalcoholic liver disease (nash)
mouth ulcer,nonalcoholic liver disease (nash)
nausea,nonalcoholic liver disease (nash)
sharp abdominal pain,nonalcoholic liver disease (nash)
weight gain,nonalcoholic liver disease (nash)
blood in stool,noninfectious gastroenteritis
burning abdominal pain,noninfectious gastroenteritis
chills,noninfectious gastroenteritis
decreased appetite,noninfectious gastroenteritis
diarrhea,noninfectious gastroenteritis
fever,noninfectious gastroenteritis
fluid retention,noninfectious gastroenteritis
headache,noninfectious gastroenteritis
nausea,noninfectious gastroenteritis
rectal bleeding,noninfectious gastroenteritis
sharp abdominal pain,noninfectious gastroenteritis
vomiting,noninfectious gastroenteritis
depressive or psychotic symptoms,normal pressure hydrocephalus
headache,normal pressure hydrocephalus
palpitations,normal pressure hydrocephalus
problems with movement,normal pressure hydrocephalus
coryza,nose disorder
cough,nose disorder
difficulty breathing,nose disorder
ear pain,nose disorder
facial pain,nose disorder
fever,nose disorder
headache,nose disorder
nasal congestion,nose disorder
nosebleed,nose disorder
painful sinuses,nose disorder
sinus congestion,nose disorder
sore throat,nose disorder
excessive appetite,obesity
sleepiness,obesity
weight gain,obesity
abnormal breathing sounds,obstructive sleep apnea (osa)
abnormal involuntary movements,obstructive sleep apnea (osa)
apnea,obstructive sleep apnea (osa)
difficulty breathing,obstructive sleep apnea (osa)
difficulty in swallowing,obstructive sleep apnea (osa)
fatigue,obstructive sleep apnea (osa)
insomnia,obstructive sleep apnea (osa)
mouth dryness,obstructive sleep apnea (osa)
shortness of breath,obstructive sleep apnea (osa)
sleepiness,obstructive sleep apnea (osa)
sweating,obstructive sleep apnea (osa)
weight gain,obstructive sleep apnea (osa)
emotional symptoms,omphalitis
flatulence,omphalitis
irregular belly button,omphalitis
abnormal appearing skin,onychomycosis
foot or toe pain,onychomycosis
irregular appearing nails,onychomycosis
"skin dryness, peeling, scaliness, or roughness",onychomycosis
skin growth,onychomycosis
skin on leg or foot looks infected,onychomycosis
skin rash,onychomycosis
skin swelling,onychomycosis
too little hair,onychomycosis
skin on arm or hand looks infected,open wound due to trauma
wrist swelling,open wound due to trauma
flatulence,open wound from surgical incision
skin lesion,open wound from surgical incision
skin swelling,open wound from surgical incision
blindness,open wound of the abdomen
irregular belly button,open wound of the abdomen
sharp abdominal pain,open wound of the abdomen
arm pain,open wound of the arm
elbow pain,open wound of the arm
knee weakness,open wound of the arm
redness in or around nose,open wound of the arm
irregular heartbeat,open wound of the back
lower body pain,open wound of the back
skin lesion,open wound of the back
weight gain,open wound of the back
facial pain,open wound of the cheek
wrist pain,open wound of the cheek
drug abuse,open wound of the chest
sharp chest pain,open wound of the chest
diminished vision,open wound of the eye
pain in eye,open wound of the eye
spots or clouds in vision,open wound of the eye
symptoms of eye,open wound of the eye
white discharge from eye,open wound of the eye
hand or finger pain,open wound of the finger
hand or finger stiffness or tightness,open wound of the finger
hand or finger swelling,open wound of the finger
skin on arm or hand looks infected,open wound of the finger
foot or toe lump or mass,open wound of the foot
foot or toe pain,open wound of the foot
foot or toe swelling,open wound of the foot
irregular appearing nails,open wound of the foot
skin lesion,open wound of the foot
skin on leg or foot looks infected,open wound of the foot
leg pain,open wound of the knee
leg swelling,open wound of the knee
dry lips,open wound of the lip
facial pain,open wound of the lip
lip swelling,open wound of the lip
mouth pain,open wound of the lip
mouth ulcer,open wound of the lip
lip swelling,open wound of the mouth
mouth ulcer,open wound of the mouth
peripheral edema,open wound of the mouth
